Item Name,Base,Protein,Sauce,Spice Level,Price,Is_Vegan,Is_Vegetarian,Description
"Soya Burger with Aussie Jack, Pindi (Level 2)",Burger,Soya,Pindi,Level 2,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Pindi (Level 3)",Burger,Soya,Pindi,Level 3,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Pindi (Level 4)",Burger,Soya,Pindi,Level 4,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Tandoori (Level 1)",Burger,Soya,Tandoori,Level 1,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Tandoori (Level 2)",Burger,Soya,Tandoori,Level 2,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Tandoori (Level 3)",Burger,Soya,Tandoori,Level 3,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Tandoori (Level 4)",Burger,Soya,Tandoori,Level 4,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Aioli (Level 1)",Burger,Soya,Aioli,Level 1,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Aioli (Level 2)",Burger,Soya,Aioli,Level 2,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Aioli (Level 3)",Burger,Soya,Aioli,Level 3,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Aioli (Level 4)",Burger,Soya,Aioli,Level 4,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Cheesy Muhammara (Level 1)",Burger,Soya,Cheesy Muhammara,Level 1,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Cheesy Muhammara (Level 2)",Burger,Soya,Cheesy Muhammara,Level 2,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Cheesy Muhammara (Level 3)",Burger,Soya,Cheesy Muhammara,Level 3,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Soya Burger with Aussie Jack, Cheesy Muhammara (Level 4)",Burger,Soya,Cheesy Muhammara,Level 4,13.99,No,Yes,"A handcrafted burger featuring a soya patty, topped with Aussie Jack cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Afghani Butter (Level 1)",Burger,Falafel,Afghani Butter,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Afghani Butter (Level 2)",Burger,Falafel,Afghani Butter,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Afghani Butter (Level 3)",Burger,Falafel,Afghani Butter,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Afghani Butter (Level 4)",Burger,Falafel,Afghani Butter,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Pindi (Level 1)",Burger,Falafel,Pindi,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Pindi (Level 2)",Burger,Falafel,Pindi,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Pindi (Level 3)",Burger,Falafel,Pindi,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Pindi (Level 4)",Burger,Falafel,Pindi,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Tandoori (Level 1)",Burger,Falafel,Tandoori,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Tandoori (Level 2)",Burger,Falafel,Tandoori,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Tandoori (Level 3)",Burger,Falafel,Tandoori,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Tandoori (Level 4)",Burger,Falafel,Tandoori,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Aioli (Level 1)",Burger,Falafel,Aioli,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Aioli (Level 2)",Burger,Falafel,Aioli,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Aioli (Level 3)",Burger,Falafel,Aioli,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Aioli (Level 4)",Burger,Falafel,Aioli,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Cheesy Muhammara (Level 1)",Burger,Falafel,Cheesy Muhammara,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Cheesy Muhammara (Level 2)",Burger,Falafel,Cheesy Muhammara,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Cheesy Muhammara (Level 3)",Burger,Falafel,Cheesy Muhammara,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Mozzarella, Cheesy Muhammara (Level 4)",Burger,Falafel,Cheesy Muhammara,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Mozzarella cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Afghani Butter (Level 1)",Burger,Falafel,Afghani Butter,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Afghani Butter (Level 2)",Burger,Falafel,Afghani Butter,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Afghani Butter (Level 3)",Burger,Falafel,Afghani Butter,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Afghani Butter (Level 4)",Burger,Falafel,Afghani Butter,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Pindi (Level 1)",Burger,Falafel,Pindi,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Pindi (Level 2)",Burger,Falafel,Pindi,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Pindi (Level 3)",Burger,Falafel,Pindi,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Pindi (Level 4)",Burger,Falafel,Pindi,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Tandoori (Level 1)",Burger,Falafel,Tandoori,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Tandoori (Level 2)",Burger,Falafel,Tandoori,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Tandoori (Level 3)",Burger,Falafel,Tandoori,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Tandoori (Level 4)",Burger,Falafel,Tandoori,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Tandoori sauce (A smoky yogurt-marinade sauce with classic tandoori spices. Medium heat and aromatic.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Aioli (Level 1)",Burger,Falafel,Aioli,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Aioli (Level 2)",Burger,Falafel,Aioli,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Aioli (Level 3)",Burger,Falafel,Aioli,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Aioli (Level 4)",Burger,Falafel,Aioli,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Aioli sauce (A bright garlic aioli with fresh kale and mint. Mild and refreshing, contains eggs.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Cheesy Muhammara (Level 1)",Burger,Falafel,Cheesy Muhammara,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Cheesy Muhammara (Level 2)",Burger,Falafel,Cheesy Muhammara,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Cheesy Muhammara (Level 3)",Burger,Falafel,Cheesy Muhammara,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Cheddar, Cheesy Muhammara (Level 4)",Burger,Falafel,Cheesy Muhammara,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Cheddar cheese and our signature Cheesy Muhammara sauce (A smoky roasted red pepper and walnut dip with pomegranate, rich and creamy. Mild, contains dairy and nuts.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Afghani Butter (Level 1)",Burger,Falafel,Afghani Butter,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Afghani Butter (Level 2)",Burger,Falafel,Afghani Butter,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Afghani Butter (Level 3)",Burger,Falafel,Afghani Butter,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Afghani Butter (Level 4)",Burger,Falafel,Afghani Butter,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Afghani Butter sauce (A rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious.), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Pindi (Level 1)",Burger,Falafel,Pindi,Level 1,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 1. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Pindi (Level 2)",Burger,Falafel,Pindi,Level 2,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 2. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Pindi (Level 3)",Burger,Falafel,Pindi,Level 3,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 3. Served in a toasted bun.  Vegetarian."
"Falafel Burger with Aussie Jack, Pindi (Level 4)",Burger,Falafel,Pindi,Level 4,13.99,No,Yes,"A handcrafted burger featuring a falafel patty, topped with Aussie Jack cheese and our signature Pindi sauce (A tangy, spiced chickpea sauce slow-cooked in Punjabi masalas. Medium heat, earthy and robust. (Vegan)), with all six fresh veggies: Lettuce, Onion, Bell Pepper, Tomato, Jalapeños, Pickles. Spice Level: Level 4. Served in a toasted bun.  Vegetarian."
